,0,1,2,3,4,5,6,7,8,9
0,2028.95,1251.11,1439.06,819.46,448.96,587.75,1112.84,988.27,1520.85,1548.71
1,2144.05,1366.21,1563.49,1005.03,450.4,379.02,1164.31,891.0,1572.32,1443.05
2,2060.75,1282.91,1480.19,903.0,367.1,474.28,1192.95,919.64,1600.96,1471.69
3,2046.77,1268.93,1442.68,823.08,484.85,560.92,1048.34,923.77,1456.35,1484.21
4,2222.43,1444.59,1641.86,1085.56,528.78,320.8,1106.1,832.78,1514.11,1384.83
5,1975.0,1197.16,1394.43,849.68,281.35,470.9,1227.66,954.35,1635.67,1506.4
6,2109.45,1331.6,1505.08,885.48,547.32,491.22,978.63,854.06,1386.64,1414.51
7,2107.24,1329.4,1517.33,897.73,527.19,503.46,990.88,866.31,1398.89,1426.75
8,2038.58,1260.74,1434.49,814.89,510.73,552.73,1040.15,915.58,1448.16,1476.02
9,1954.73,1176.89,1374.16,768.96,331.84,521.39,1176.7,1052.13,1584.71,1612.57
10,2103.98,1326.14,1523.42,965.27,410.33,438.64,1190.42,917.1,1598.43,1469.16
11,2128.66,1350.82,1548.09,970.45,435.01,411.0,1129.68,856.36,1537.69,1408.41
12,2083.93,1306.09,1494.04,874.44,503.87,512.72,1066.67,942.09,1474.68,1502.54
13,2086.9,1309.06,1463.02,843.42,677.73,518.03,863.62,836.57,1271.63,1397.01
14,2032.05,1254.21,1451.48,855.43,385.57,560.58,1213.08,973.65,1621.09,1648.95
15,1934.99,1157.15,1354.42,758.45,309.16,544.84,1248.48,1123.91,1656.49,1684.36
16,2054.55,1276.71,1473.98,877.94,408.07,571.23,1190.69,1066.12,1598.7,1626.56
17,1999.83,1221.99,1419.26,874.51,303.64,472.28,1275.79,1002.48,1683.8,1554.53
18,1943.22,1165.38,1367.38,747.78,343.96,610.6,1164.55,1039.98,1572.56,1600.42
19,2119.05,1341.21,1538.48,980.33,425.39,420.24,1205.54,932.22,1613.55,1484.27
20,2063.13,1285.29,1482.56,886.52,416.65,491.21,1131.49,904.29,1539.5,1567.37
21,2059.1,1281.26,1478.53,901.35,365.45,457.17,1143.56,870.24,1551.57,1422.3
22,2017.88,1240.04,1437.32,860.13,324.23,498.39,1184.78,911.46,1592.79,1463.51
23,2159.88,1382.04,1558.58,938.98,594.91,471.71,959.12,834.55,1367.14,1395.0
24,2041.74,1263.9,1461.17,865.13,366.48,505.78,1192.17,918.85,1600.18,1470.9
25,2153.85,1376.02,1573.29,1014.55,460.2,355.69,1107.69,834.37,1515.7,1386.42
26,1897.21,1119.37,1316.65,771.9,289.49,525.18,1261.93,1032.13,1669.94,1697.8
27,2135.35,1357.51,1548.02,928.41,488.87,504.7,1058.65,934.08,1466.67,1494.53
28,2014.84,1237.0,1434.28,838.23,368.37,540.06,1168.38,953.13,1576.39,1604.25
29,2032.32,1254.48,1451.75,893.6,338.67,451.43,1251.65,978.34,1659.66,1530.39
30,2116.69,1338.85,1536.12,977.67,423.04,385.02,1136.89,863.58,1544.9,1415.63
31,2107.2,1329.36,1526.63,930.35,460.72,469.26,1122.09,882.33,1530.1,1557.96
32,2143.01,1365.17,1562.44,965.93,496.53,471.83,1059.36,934.79,1467.37,1495.23
