Index_name Longitude Latitude Store1 Store2 Store3 Store4 Store5 Store6 Store7 Store8 Store9 Store10
0 -87.706845 41.955346 2028.95 1251.11 1439.06 819.46 448.96 587.75 1112.84 988.27 1520.85 1548.71
1 -87.716691 41.956759999999996 2144.05 1366.21 1563.49 1005.03 450.4 379.02 1164.31 891.0 1572.32 1443.05
2 -87.71465699999999 41.953788 2060.75 1282.91 1480.19 903.0 367.1 474.28 1192.95 919.64 1600.96 1471.69
3 -87.706585 41.955754999999996 2046.77 1268.93 1442.68 823.08 484.85 560.92 1048.34 923.77 1456.35 1484.21
4 -87.71678 41.959959000000005 2222.43 1444.59 1641.86 1085.56 528.78 320.8 1106.1 832.78 1514.11 1384.83
5 -87.71279799999999 41.950602 1975.0 1197.16 1394.43 849.68 281.35 470.9 1227.66 954.35 1635.67 1506.4
6 -87.70643000000001 41.959382 2109.45 1331.6 1505.08 885.48 547.32 491.22 978.63 854.06 1386.64 1414.51
7 -87.706977 41.959648 2107.24 1329.4 1517.33 897.73 527.19 503.46 990.88 866.31 1398.89 1426.75
8 -87.705632 41.955498999999996 2038.58 1260.74 1434.49 814.89 510.73 552.73 1040.15 915.58 1448.16 1476.02
9 -87.709162 41.950705 1954.73 1176.89 1374.16 768.96 331.84 521.39 1176.7 1052.13 1584.71 1612.57
10 -87.715461 41.956878 2103.98 1326.14 1523.42 965.27 410.33 438.64 1190.42 917.1 1598.43 1469.16
11 -87.714229 41.956862 2128.66 1350.82 1548.09 970.45 435.01 411.0 1129.68 856.36 1537.69 1408.41
12 -87.706942 41.958366999999996 2083.93 1306.09 1494.04 874.44 503.87 512.72 1066.67 942.09 1474.68 1502.54
13 -87.698975 41.96125 2086.9 1309.06 1463.02 843.42 677.73 518.03 863.62 836.57 1271.63 1397.01
14 -87.711577 41.950478000000004 2032.05 1254.21 1451.48 855.43 385.57 560.58 1213.08 973.65 1621.09 1648.95
