,Latitude,Longitude
1041,41.955346,-87.706845
1042,41.95676,-87.716691
1043,41.953788,-87.714657
1044,41.955755,-87.706585
1045,41.959959,-87.71678
1046,41.950602,-87.712798
1047,41.959382,-87.70643
1048,41.959648,-87.706977
1049,41.955499,-87.705632
1050,41.950705,-87.709162
1051,41.956878,-87.715461
1052,41.956862,-87.714229
1053,41.958367,-87.706942
1054,41.96125,-87.698975
1055,41.950478,-87.711577
1056,41.949214,-87.710332
1057,41.954832,-87.711743
1058,41.948835,-87.714008
1059,41.950478,-87.707926
1060,41.954495,-87.716626
1061,41.956162,-87.710478
1062,41.955223,-87.712949
1063,41.952958,-87.712887
1064,41.959951,-87.705767
1065,41.953489,-87.711662
1066,41.959618,-87.715547
1067,41.947298,-87.709809
1068,41.958154,-87.708768
1069,41.9534,-87.710588
1070,41.95294,-87.715348
1071,41.957576,-87.715484
1072,41.958451,-87.710909
1073,41.959335,-87.712383
1074,41.952056,-87.711927
1075,41.951215,-87.709176
1076,41.950496,-87.708163
1077,41.956432,-87.715446
1078,41.950934,-87.708564
1079,41.958424,-87.712817
1080,41.958747,-87.709393
1081,41.955084,-87.714172
1082,41.956589,-87.708097
1083,41.955736,-87.711738
1084,41.960796,-87.709452
1085,41.956643,-87.711108
1086,41.954008,-87.70496
1087,41.958783,-87.713066
1088,41.949654,-87.712788
1089,41.953411,-87.709127
1090,41.952625,-87.70676
1091,41.954534,-87.706815
1092,41.960752,-87.705699
1093,41.959093,-87.715534
1094,41.960543,-87.704543
1095,41.954544,-87.708037
1096,41.957579,-87.705176
1097,41.949947,-87.714026
1098,41.953906,-87.713901
1099,41.959188,-87.708268
1100,41.953822,-87.712024
1101,41.957147,-87.705678
1102,41.953878,-87.716218
1103,41.957557,-87.708831
1104,41.960381,-87.706997
1105,41.954703,-87.709267
1106,41.952788,-87.711642
1107,41.955196,-87.715408
1108,41.959279,-87.716218
1109,41.952613,-87.70798
1110,41.958759,-87.70573
1111,41.96112,-87.713815
1112,41.958054,-87.704465
1113,41.9511,-87.711594
1114,41.957569,-87.706242
1115,41.958003,-87.71673
1116,41.952207,-87.715326
1117,41.959346,-87.711223
1118,41.952121,-87.707583
1119,41.957548,-87.70948
1120,41.959171,-87.710636
1121,41.956637,-87.712031
1122,41.95479,-87.712939
1123,41.956222,-87.716676
1124,41.953961,-87.710595
1125,41.947735,-87.710302
1126,41.955444,-87.716654
1127,41.961229,-87.703584
1128,41.960079,-87.710662
1129,41.959847,-87.714326
1130,41.956268,-87.710542
1131,41.955718,-87.709824
1132,41.960386,-87.713117
1133,41.95262,-87.710432
1134,41.950255,-87.710039
1135,41.958448,-87.714282
1136,41.954371,-87.705599
1137,41.955749,-87.710817
1138,41.956423,-87.706882
1139,41.952642,-87.714084
1140,41.948022,-87.709088
1141,41.960243,-87.711968
1142,41.953906,-87.713901
1143,41.951543,-87.714058
1144,41.951422,-87.711602
1145,41.95701,-87.706901
1146,41.954468,-87.710482
1147,41.957538,-87.711842
1148,41.958803,-87.70449
1149,41.952061,-87.711103
1150,41.959705,-87.704519
1151,41.96127,-87.696019
1152,41.949838,-87.710349
1153,41.951157,-87.71039
1154,41.952431,-87.706755
1155,41.953424,-87.715362
1156,41.955146,-87.710497
1157,41.955763,-87.704871
1158,41.951731,-87.712853
1159,41.923125,-87.663252
1160,41.921629,-87.662702
1161,41.930541,-87.658646
1162,41.927086,-87.660261
1163,41.928791,-87.666713
1164,41.93007,-87.65983
1165,41.924886,-87.660872
1166,41.929834,-87.665908
1167,41.927606,-87.663399
1168,41.932512,-87.661578
1169,41.932448,-87.665104
1170,41.922542,-87.663229
1171,41.931004,-87.665861
1172,41.928892,-87.661301
1173,41.93071,-87.660723
1174,41.928294,-87.658562
1175,41.931254,-87.663514
1176,41.928294,-87.663423
1177,41.927099,-87.659254
1178,41.930771,-87.657161
1179,41.930734,-87.659477
1180,41.923881,-87.66303
1181,41.930722,-87.659911
